layouts/layout3/layout3_7agents_18.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_180.txt, 161, 0.0, Distributed
layouts/layout3/layout3_7agents_181.txt, 161, 0.0, Distributed
layouts/layout3/layout3_7agents_182.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_183.txt, 161, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_184.txt, 217, 0.0, Distributed
layouts/layout3/layout3_7agents_185.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_186.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_187.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_188.txt, 140, 0.0, Distributed
layouts/layout3/layout3_7agents_189.txt, 105, 7.152557373046875e-07, Distributed
layouts/layout3/layout3_7agents_19.txt, 133, 0.0, Distributed
layouts/layout3/layout3_7agents_190.txt, 91, 0.0, Distributed
layouts/layout3/layout3_7agents_191.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_192.txt, 231, 0.0, Distributed
layouts/layout3/layout3_7agents_193.txt, 91, 0.0, Distributed
layouts/layout3/layout3_7agents_194.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_195.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_196.txt, 161, 0.0, Distributed
layouts/layout3/layout3_7agents_197.txt, 84, 0.0, Distributed
layouts/layout3/layout3_7agents_198.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_199.txt, 133, 0.0, Distributed
layouts/layout3/layout3_7agents_2.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_20.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_200.txt, 126, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_201.txt, 154, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_202.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_203.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_204.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_205.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_206.txt, 168, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_207.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_208.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_209.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_21.txt, 231, 0.0, Distributed
layouts/layout3/layout3_7agents_210.txt, 210, 0.0, Distributed
layouts/layout3/layout3_7agents_211.txt, 161, 0.0, Distributed
layouts/layout3/layout3_7agents_212.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_213.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_214.txt, 175, 0.0, Distributed
layouts/layout3/layout3_7agents_215.txt, 210, 0.0, Distributed
layouts/layout3/layout3_7agents_216.txt, 154, 0.0, Distributed
layouts/layout3/layout3_7agents_217.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_218.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_219.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_22.txt, 168, 0.0, Distributed
layouts/layout3/layout3_7agents_220.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_221.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_222.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_223.txt, 182, 0.0, Distributed
layouts/layout3/layout3_7agents_224.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_225.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_226.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_227.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_228.txt, 161, 0.0, Distributed
layouts/layout3/layout3_7agents_229.txt, 168, 0.0, Distributed
layouts/layout3/layout3_7agents_23.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_230.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_231.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_232.txt, 147, 7.152557373046875e-07, Distributed
layouts/layout3/layout3_7agents_233.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_234.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_235.txt, None, Not Solvable, Distributed
